# format_version: 1
# kind	id	iri	label	aliases	parents	ontology	role	component_family	sequence_family	table1	table2
term	CHEBI:138931	https://identifiers.org/CHEBI:138931	glutamine antagonist	http://purl.obolibrary.org/obo/CHEBI_138931	CHEBI:48706	CHEBI	feature_role	-	-	false	false
term	CHEBI:138938	https://identifiers.org/CHEBI:138938	EC 4.1.1.39 (ribulose-bisphosphate carboxylase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_138938	CHEBI:76906	CHEBI	feature_role	-	-	false	false
term	CHEBI:138952	https://identifiers.org/CHEBI:138952	EC 2.4.2.14 (amidophosphoribosyltransferase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_138952	CHEBI:76790	CHEBI	feature_role	-	-	false	false
term	CHEBI:138953	https://identifiers.org/CHEBI:138953	EC 6.3.5.1 [NAD(+) synthase (glutamine-hydrolysing)] inhibitor	http://purl.obolibrary.org/obo/CHEBI_138953	CHEBI:138920	CHEBI	feature_role	-	-	false	false
term	CHEBI:138956	https://identifiers.org/CHEBI:138956	EC 6.3.5.4 [asparagine synthase (glutamine-hydrolysing)] inhibitor	http://purl.obolibrary.org/obo/CHEBI_138956	CHEBI:138920	CHEBI	feature_role	-	-	false	false
term	CHEBI:138977	https://identifiers.org/CHEBI:138977	quorum sensing inhibitor	http://purl.obolibrary.org/obo/CHEBI_138977	CHEBI:35222	CHEBI	feature_role	-	-	false	false
term	CHEBI:139044	https://identifiers.org/CHEBI:139044	thromboxane A2 agonist	http://purl.obolibrary.org/obo/CHEBI_139044	CHEBI:48705	CHEBI	feature_role	-	-	false	false
term	CHEBI:139055	https://identifiers.org/CHEBI:139055	PERK inhibitor	http://purl.obolibrary.org/obo/CHEBI_139055	CHEBI:35608	CHEBI	feature_role	-	-	false	false
term	CHEBI:139074	https://identifiers.org/CHEBI:139074	LIM kinase inhibitor	http://purl.obolibrary.org/obo/CHEBI_139074	CHEBI:76668	CHEBI	feature_role	-	-	false	false
term	CHEBI:139084	https://identifiers.org/CHEBI:139084	cis-Golgi ArfGEF GBF inhibitor	http://purl.obolibrary.org/obo/CHEBI_139084	CHEBI:35222|CHEBI:52206	CHEBI	feature_role	-	-	false	false
term	CHEBI:139109	https://identifiers.org/CHEBI:139109	IP3 receptor agonist	http://purl.obolibrary.org/obo/CHEBI_139109	CHEBI:48705	CHEBI	feature_role	-	-	false	false
term	CHEBI:139153	https://identifiers.org/CHEBI:139153	EC 2.4.1.255 (protein O-GlcNAc transferase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_139153	CHEBI:76789	CHEBI	feature_role	-	-	false	false
term	CHEBI:139155	https://identifiers.org/CHEBI:139155	melanin-concentrating hormone receptor antagonist	http://purl.obolibrary.org/obo/CHEBI_139155	CHEBI:48706	CHEBI	feature_role	-	-	false	false
term	CHEBI:139180	https://identifiers.org/CHEBI:139180	nicotinic acid adenine dinucleotide phosphate receptor antagonist	http://purl.obolibrary.org/obo/CHEBI_139180	CHEBI:48706	CHEBI	feature_role	-	-	false	false
